geo,Name,TIME_PERIOD,GHGperGDP,PriceAdjOil,GDPperCap,OilCperGDP,GDPgrowth,OilDep,SRE,PosSupplyShock,NegSupplyShock,GHG,GDP,Pop,OilCons
EL,Greece,2017,9831.199593057758,52.43,18304.288955243155,2950.6145961061134,1.0921491201728015,98.097,16.4,0,1,1935340000,196856.953384064,10754690,580849000
EL,Greece,2018,10488.18636430496,67.89,18647.481821422745,3132.2459536814786,1.6684286360249365,97.935,17.9,1,0,2099120000,200141.37116632998,10732890,626892000
EL,Greece,2019,10662.863776487746,63.35,19018.01771522837,3196.0636862040437,1.8794899859084468,95.719,18.5,0,1,2174190000,203903.008195061,10721570,651687000
EL,Greece,2020,9463.05215952699,40.99,17283.26026271677,2837.304022657477,-9.316435764787377,106.438,20.1,0,0,1749780000,184906.515414099,10698590,524635999.99999994
ES,Spain,1995,7482.756281139612,25.66,20004.384255974084,2358.5613967773,0,101.466,8.3,0,0,5945440000,794552.1378246091,39718900,1874000000
ES,Spain,1996,7749.214686485912,30.2,20451.473625044648,2451.9068074950246,2.6605616042964275,98.963,10.1,1,0,6320970000,815691.686929687,39884250,2000000000
ES,Spain,1997,5997.605172561631,28.56,21120.930373043975,1891.493018608805,3.702494627166194,100.228,9.2,0,0,5073330000,845892.6278125,40049970,1600000000
ES,Spain,1998,5992.875564116498,19.2,21958.820459063285,1888.9001840402111,4.39310073452254,100.823,8.9,1,1,5292030000,883053.543058203,40214070,1668000000
ES,Spain,1999,5423.71208302296,27.19,22856.454703968102,1712.3519015238837,4.490553378406346,100.177,7.7,0,1,5004500000,922707.53376914,40369670,1580000000
ES,Spain,2000,4496.689222168499,44.3,23945.921826180518,1416.9319728459247,5.245943823778056,101.034,7.9,1,1,4366790000,971112.252648437,40554390,1376000000
ES,Spain,2001,4305.532181926977,37.6,24758.496945259845,1357.368163024659,3.933002764892515,99.293,8.9,0,1,4345600000,1009306.1243953101,40766050,1370000000
ES,Spain,2002,4223.510220787503,38.46,25030.942641695103,1329.964535880958,2.7309483293102716,101.174,7.4,0,1,4379230000,1036869.75313711,41423520,1379000000
